user,tier,model,threshold_policy,attack_type,seed,accept_threshold,bypass_rate_window,bypass_rate_session
user12,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6927089583100899,0.0,0.0
user12,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.7144356953762016,0.10416666666666667,0.0
user12,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.7547163296430607,0.0,0.0
user12,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.1375,0.0
user12,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user12,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.68,0.0,0.0
user12,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.6966666666666667,0.0125,0.0
user12,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.6900345680445568,0.0,0.0
user12,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.7371686697006226,0.004166666666666667,0.0
user12,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.6203563809394836,0.45,0.45
user15,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.7161446050472096,0.0,0.0
user15,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.7618273386713952,0.0,0.0
user15,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.7507921270642898,0.0,0.0
user15,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.03333333333333333,0.0
user15,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user15,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.6233333333333333,0.008333333333333333,0.0
user15,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.69,0.0,0.0
user15,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.6823684753440293,0.008333333333333333,0.0
user15,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.6888836622238159,0.05,0.0
user15,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.5017629265785217,0.058333333333333334,0.0
user16,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.692101676529081,0.0,0.0
user16,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.7356995042562976,0.004166666666666667,0.0
user16,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.7552581917073409,0.0,0.0
user16,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.06666666666666667,0.0
user16,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user16,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.6966666666666667,0.04583333333333333,0.0
user16,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.72,0.0125,0.0
user16,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.7326243701467638,0.6458333333333334,0.95
user16,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.7156444191932678,0.2375,0.0
user16,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.5787507891654968,0.11666666666666667,0.0
user20,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6639931299395593,0.0,0.0
user20,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.650475259943945,0.05,0.0
user20,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.6944936291806182,0.0,0.0
user20,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.016666666666666666,0.0
user20,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user20,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.61,0.0,0.0
user20,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.6166666666666667,0.0,0.0
user20,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.6247359179547685,0.004166666666666667,0.0
user20,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.6177418231964111,0.0,0.0
user20,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.7758929133415222,0.0,0.0
user21,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.7122261758635781,0.0,0.0
user21,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.7328527817722313,0.8916666666666667,1.0
user21,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.7986916660980514,0.0,0.0
user21,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.004166666666666667,0.0
user21,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user21,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.7233333333333334,0.0,0.0
user21,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.7466666666666667,0.0,0.0
user21,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.823361436346595,0.029166666666666667,0.0
user21,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.8612804412841797,0.12916666666666668,0.05
user21,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.8463189005851746,0.4875,0.6
user23,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6946730119532017,0.0,0.0
user23,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.7547980218980502,0.09166666666666666,0.0
user23,T1,T1_SVM_RBF,calibration_FAR<=0.10,sapiagent,0,0.7541112568513179,0.0,0.0
user23,T1,T1_kNN,calibration_FAR<=0.10,sapiagent,0,1.0,0.5625,0.8
user23,T1,T1_DecisionTree,calibration_FAR<=0.10,sapiagent,0,1.000000001,0.0,0.0
user23,T2,T2_RandomForest,calibration_FAR<=0.10,sapiagent,0,0.71,0.0,0.0
user23,T2,T2_ExtraTrees,calibration_FAR<=0.10,sapiagent,0,0.7166666666666667,0.0,0.0
user23,T2,T2_GradientBoosting,calibration_FAR<=0.10,sapiagent,0,0.7738625701250986,0.020833333333333332,0.0
user23,T2,T2_XGBoost,calibration_FAR<=0.10,sapiagent,0,0.8400070667266846,0.020833333333333332,0.0
user23,T3,T3_1D_CNN,calibration_FAR<=0.10,sapiagent,0,0.7156016826629639,0.18333333333333332,0.0
user29,T0,T0_DistanceProfile,calibration_FAR<=0.10,sapiagent,0,0.6750473512591059,0.0,0.0
user29,T1,T1_LogReg,calibration_FAR<=0.10,sapiagent,0,0.5385304801452376,0.175,0.05
