source,session_id,step,x,y
genuine,user9:session_0510101673,0,284.0,121.0
genuine,user9:session_0510101673,1,285.0,167.0
genuine,user9:session_0510101673,2,287.0,197.0
genuine,user9:session_0510101673,3,294.0,226.0
genuine,user9:session_0510101673,4,297.0,229.0
genuine,user9:session_0510101673,5,296.0,226.0
genuine,user9:session_0510101673,6,285.0,216.0
genuine,user9:session_0510101673,7,268.0,204.0
genuine,user9:session_0510101673,8,237.0,200.0
genuine,user9:session_0510101673,9,179.0,200.0
genuine,user9:session_0510101673,10,177.0,200.0
genuine,user9:session_0510101673,11,169.0,200.0
genuine,user9:session_0510101673,12,161.0,195.0
genuine,user9:session_0510101673,13,159.0,193.0
genuine,user9:session_0510101673,14,157.0,188.0
genuine,user9:session_0510101673,15,157.0,187.0
genuine,user9:session_0510101673,16,157.0,187.0
genuine,user9:session_0510101673,17,160.0,188.0
genuine,user9:session_0510101673,18,227.0,214.0
genuine,user9:session_0510101673,19,230.0,217.0
genuine,user9:session_0510101673,20,242.0,228.0
genuine,user9:session_0510101673,21,247.0,233.0
genuine,user9:session_0510101673,22,263.0,257.0
genuine,user9:session_0510101673,23,267.0,284.0
genuine,user9:session_0510101673,24,268.0,287.0
genuine,user9:session_0510101673,25,266.0,299.0
genuine,user9:session_0510101673,26,265.0,312.0
genuine,user9:session_0510101673,27,264.0,325.0
genuine,user9:session_0510101673,28,265.0,326.0
genuine,user9:session_0510101673,29,266.0,327.0
genuine,user9:session_0510101673,30,268.0,325.0
genuine,user9:session_0510101673,31,269.0,322.0
genuine,user9:session_0510101673,32,269.0,322.0
genuine,user9:session_0510101673,33,269.0,322.0
genuine,user9:session_0510101673,34,269.0,322.0
genuine,user9:session_0510101673,35,269.0,322.0
genuine,user9:session_0510101673,36,271.0,318.0
genuine,user9:session_0510101673,37,319.0,165.0
genuine,user9:session_0510101673,38,341.0,75.0
genuine,user9:session_0510101673,39,342.0,63.0
genuine,user9:session_0510101673,40,339.0,29.0
genuine,user9:session_0510101673,41,326.0,12.0
genuine,user9:session_0510101673,42,309.0,23.0
genuine,user9:session_0510101673,43,287.0,34.0
genuine,user9:session_0510101673,44,274.0,43.0
genuine,user9:session_0510101673,45,271.0,44.0
genuine,user9:session_0510101673,46,270.0,44.0
genuine,user9:session_0510101673,47,268.0,46.0
genuine,user9:session_0510101673,48,268.0,46.0
genuine,user9:session_0510101673,49,268.0,46.0
genuine,user9:session_0510101673,50,268.0,46.0
genuine,user9:session_0510101673,51,271.0,54.0
genuine,user9:session_0510101673,52,304.0,124.0
genuine,user9:session_0510101673,53,382.0,200.0
genuine,user9:session_0510101673,54,571.0,331.0
genuine,user9:session_0510101673,55,584.0,333.0
genuine,user9:session_0510101673,56,637.0,331.0
genuine,user9:session_0510101673,57,655.0,322.0
genuine,user9:session_0510101673,58,655.0,323.0
genuine,user9:session_0510101673,59,655.0,327.0
genuine,user9:session_0510101673,60,666.0,388.0
genuine,user9:session_0510101673,61,668.0,388.0
genuine,user9:session_0510101673,62,698.0,396.0
genuine,user9:session_0510101673,63,725.0,400.0
genuine,user9:session_0510101673,64,626.0,336.0
genuine,user9:session_0510101673,65,525.0,310.0
genuine,user9:session_0510101673,66,524.0,310.0
genuine,user9:session_0510101673,67,524.0,310.0
genuine,user9:session_0510101673,68,524.0,310.0
genuine,user9:session_0510101673,69,0.0,0.0
genuine,user9:session_0510101673,70,0.0,0.0
genuine,user9:session_0510101673,71,0.0,0.0
