user,tier,model,threshold_policy,seed,accept_threshold,n_genuine_sessions,n_imposter_sessions,TAR_window,TAR_session,FAR_window,FAR_session
user12,T0,T0_DistanceProfile,calibration_FAR<=0.10,0,0.6316890194986989,56,49,0.40461215932914046,0.35714285714285715,0.19536423841059603,0.10204081632653061
user12,T0,T0_DistanceProfile,calibration_FAR<=0.10_floor_0.05,0,0.6316890194986989,56,49,0.40461215932914046,0.35714285714285715,0.19536423841059603,0.10204081632653061
user12,T1,T1_LogReg,calibration_FAR<=0.10,0,0.5675743417540559,56,49,0.7672955974842768,0.9285714285714286,0.32450331125827814,0.3673469387755102
user12,T1,T1_LogReg,calibration_FAR<=0.10_floor_0.05,0,0.5675743417540559,56,49,0.7672955974842768,0.9285714285714286,0.32450331125827814,0.3673469387755102
user12,T1,T1_SVM_RBF,calibration_FAR<=0.10,0,0.3722052426664812,56,49,0.7882599580712788,0.9642857142857143,0.33112582781456956,0.3673469387755102
user12,T1,T1_SVM_RBF,calibration_FAR<=0.10_floor_0.05,0,0.3722052426664812,56,49,0.7882599580712788,0.9642857142857143,0.33112582781456956,0.3673469387755102
user12,T1,T1_kNN,calibration_FAR<=0.10,0,0.6,56,49,0.6016771488469602,0.8214285714285714,0.25496688741721857,0.16326530612244897
user12,T1,T1_kNN,calibration_FAR<=0.10_floor_0.05,0,0.6,56,49,0.6016771488469602,0.8214285714285714,0.25496688741721857,0.16326530612244897
user12,T1,T1_DecisionTree,calibration_FAR<=0.10,0,1.0000000000000002,56,49,0.0,0.0,0.0,0.0
user12,T1,T1_DecisionTree,calibration_FAR<=0.10_floor_0.05,0,1.0000000000000002,56,49,0.0,0.0,0.0,0.0
user12,T2,T2_RandomForest,calibration_FAR<=0.10,0,0.38,56,49,0.7714884696016772,0.9642857142857143,0.3344370860927152,0.3877551020408163
user12,T2,T2_RandomForest,calibration_FAR<=0.10_floor_0.05,0,0.38,56,49,0.7714884696016772,0.9642857142857143,0.3344370860927152,0.3877551020408163
user12,T2,T2_ExtraTrees,calibration_FAR<=0.10,0,0.39666666666666667,56,49,0.7672955974842768,0.9821428571428571,0.3344370860927152,0.3673469387755102
user12,T2,T2_ExtraTrees,calibration_FAR<=0.10_floor_0.05,0,0.39666666666666667,56,49,0.7672955974842768,0.9821428571428571,0.3344370860927152,0.3673469387755102
user12,T2,T2_GradientBoosting,calibration_FAR<=0.10,0,0.36151154533744784,56,49,0.7547169811320755,0.9464285714285714,0.3211920529801324,0.3469387755102041
