user,seed,fit_calibration_overlap,fit_test_overlap,calibration_test_overlap,cnn_train_validation_overlap,fit_sessions,calibration_sessions,test_sessions
user12,0,0,0,0,0,21,7,105
user12,1,0,0,0,0,21,7,105
user12,2,0,0,0,0,21,7,105
user15,0,0,0,0,0,18,6,115
user15,1,0,0,0,0,18,6,115
user15,2,0,0,0,0,18,6,115
user16,0,0,0,0,0,18,6,106
user16,1,0,0,0,0,18,6,106
user16,2,0,0,0,0,18,6,106
user20,0,0,0,0,0,21,7,49
user20,1,0,0,0,0,21,7,49
user20,2,0,0,0,0,21,7,49
user21,0,0,0,0,0,21,7,58
user21,1,0,0,0,0,21,7,58
user21,2,0,0,0,0,21,7,58
user23,0,0,0,0,0,18,6,71
user23,1,0,0,0,0,18,6,71
user23,2,0,0,0,0,18,6,71
user29,0,0,0,0,0,21,7,63
user29,1,0,0,0,0,21,7,63
user29,2,0,0,0,0,21,7,63
user35,0,0,0,0,0,15,5,106
user35,1,0,0,0,0,15,5,106
user35,2,0,0,0,0,15,5,106
user7,0,0,0,0,0,21,7,73
user7,1,0,0,0,0,21,7,73
user7,2,0,0,0,0,21,7,73
user9,0,0,0,0,0,21,7,65
user9,1,0,0,0,0,21,7,65
user9,2,0,0,0,0,21,7,65
