session_index,user,session,raw_rows,collapsed_rows,duplicate_timestamp_rate,velocity_p99,acceleration_p99_abs,jerk_p99_abs
0,user12,session_2144641057,30287,25654,0.28906791692805495,5000.0,1000000.0,100000000.0
1,user12,session_5265929106,32322,28063,0.25171709671431225,5000.0,1000000.0,100000000.0
2,user12,session_5815391283,48244,42877,0.2166279744631457,5000.0,1000000.0,100000000.0
3,user12,session_7409188284,32652,21707,0.5950018375597207,5000.0,1000000.0,100000000.0
4,user12,session_8872593360,33550,28078,0.3054545454545455,5000.0,1000000.0,100000000.0
5,user12,session_9031593624,40047,35698,0.21017804080205757,5000.0,1000000.0,100000000.0
6,user12,session_9838420452,29722,26213,0.22723908216136196,5000.0,1000000.0,100000000.0
7,user15,session_0205904470,17156,15130,0.22843320121240382,5000.0,1000000.0,100000000.0
8,user15,session_1366248436,30742,26855,0.24299004619087894,5000.0,1000000.0,100000000.0
9,user15,session_5657866014,16971,15103,0.21560308762005775,5000.0,409881.2832266463,100000000.0
10,user15,session_6715291950,44018,38476,0.24162842473533555,5000.0,1000000.0,100000000.0
11,user15,session_8694009379,23354,20426,0.24154320459022008,5000.0,1000000.0,100000000.0
12,user15,session_8848361933,17680,14776,0.31018099547511313,5000.0,1000000.0,100000000.0
13,user16,session_0735651357,53816,45135,0.3020662999851345,5000.0,1000000.0,100000000.0
14,user16,session_1607878631,37774,32149,0.2783925451368666,5000.0,1000000.0,100000000.0
15,user16,session_1658051584,37464,31204,0.314488575699338,5000.0,1000000.0,100000000.0
16,user16,session_3012944488,45839,37804,0.32572700102532776,5000.0,1000000.0,100000000.0
17,user16,session_5398005306,36725,29976,0.3417562968005446,5000.0,1000000.0,100000000.0
18,user16,session_6961018175,28428,24206,0.2793372731110173,5000.0,1000000.0,100000000.0
19,user20,session_0214655159,36004,8667,0.9418120208865681,5000.0,1000000.0,100000000.0
20,user20,session_0764157160,55286,14817,0.9282639366204826,5000.0,1000000.0,100000000.0
21,user20,session_2372891077,60087,11821,0.9536505400502605,5000.0,1000000.0,100000000.0
22,user20,session_3767642011,31773,7716,0.9331507884052498,5000.0,1000000.0,100000000.0
23,user20,session_7888368102,31441,7434,0.9444356095544035,5000.0,1000000.0,100000000.0
24,user20,session_9673196280,40475,34517,0.2852130945027795,5000.0,1000000.0,100000000.0
25,user20,session_9818121880,39131,7970,0.9520329150801156,5000.0,1000000.0,100000000.0
26,user21,session_0347800921,16386,13568,0.3200292932991578,5000.0,1000000.0,100000000.0
27,user21,session_0639882460,17636,14354,0.3454865048763892,5000.0,1000000.0,100000000.0
28,user21,session_5306911480,21465,17833,0.31530398322851155,5000.0,1000000.0,100000000.0
29,user21,session_6886360376,16022,13518,0.2954687304955686,5000.0,1000000.0,100000000.0
30,user21,session_7001496014,17740,15220,0.2746899661781285,5000.0,1000000.0,100000000.0
31,user21,session_7767882493,15342,13173,0.27141181071568243,5000.0,1000000.0,100000000.0
32,user21,session_8505229187,21340,17334,0.34062792877225867,5000.0,1000000.0,100000000.0
33,user23,session_0405064924,21583,18304,0.28930176527822826,5000.0,1000000.0,100000000.0
